URL,Creator's Tag,Black nav text?,Anime,Song,Artist
https://www.instagram.com/p/CHYRri2gyRO/,0ranishi,y,Hunter x Hunter (1999),It Was a Good Day (slowed),Ice Cube
https://www.instagram.com/p/CGfMdH-g50L/,lofiyuth_,y,Cowboy Bebop,September,"Earth, Wind, and Fire"
https://www.instagram.com/p/CGXb85GAZNV/,lofiyuth_,y,The God of Highschool,Walk (Shinji Remix),Comethazine
https://www.instagram.com/p/CHbL8dlA5NB/,0ranishi,y,Jujutsu Kaisen,Borderline,Tame Impala
https://www.instagram.com/p/CHbnmDJgPly/,jiangelo99,y,Akira,Rainy Sunday,Kyoki
https://www.instagram.com/p/CHYQLhNFrJL/,luvrskyo,n,Kakegurui,Then I Can Go Home,Datfootdive
https://www.instagram.com/p/CHePXsUgVyv/,kaorivy,y,Wolf Children,Dead Wrong (Lofi Remix),The Notorious B.I.G
https://www.instagram.com/p/CHikp3QAQSq/,0ranishi,n,Kakegurui,Estrelar (Baht Remix),Marcos Valle
https://www.instagram.com/p/CHizHA4BAUZ/,Idealisms,n,Your Name,Charlie Brown,Farache
https://www.instagram.com/p/CHirbO4HnXo/,tri.stful,n,Weathering With You,Run,Joji
https://www.instagram.com/p/CHs390JgEXz/,0ranishi,n,Jujutsu Kaisen,Pump It,The Black Eyed Peas
https://www.instagram.com/p/CHizZZtgkXo/,ck1n6,n,The Promised Neverland,I'll Never Smile Again,Frank Sinatra
https://www.instagram.com/p/CHixmdyg32b/,svdlyy,n,Fate/Stay Night: Unlimited Bladeworks,Darling,Tomppabeats
https://www.instagram.com/p/CHsaj99JuRH/,izanamiiiii_,y,FLCL,19-2000,Gorillaz
https://www.instagram.com/p/CHvEXYPilnJ/,mono.lofi,n,Hyouka,Sweet Insomnia,Diego Ceo
https://www.instagram.com/p/CHvrCf3gQvm/,ck1n6,n,Death Note,Next To You,Alicks.
https://www.instagram.com/p/CHveMAdDJVS/,holdmyblues,y,A Silent Voice,Gymnopédie No. 1 (slowed),Erik Satie 
https://www.instagram.com/p/CGKnTtkgv9D/,lofiyuth_,n,Another,I Don't Want to Set the World on Fire,The Ink Spots
https://www.instagram.com/p/CFpq_DGAO8s/,lofi.venuss,y,Kakegurui,We Fell in Love in October,girl in red
https://www.instagram.com/p/CHrEC5XAU3j/,,y,Yu Yu Hakusho,I Believed She Felt The Same,Datfootdive
https://www.instagram.com/p/CHY8jhJAdIM/,,y,Attack on Titan,Dead Wrong (Lofi Remix),The Notorious B.I.G
https://www.instagram.com/p/CHkpZ0yge-V/,cutchlofi,y,Rascal Does Not Dream of Bunny Girl Senpai,Intro (Thinking) (slowed),Mounika
https://www.instagram.com/p/CHiEo9FA2AM/,cutchlofi,y,"Love, Chunibyo & Other Delusions",Mon-Day,c u soon
https://www.instagram.com/p/CHaWO8yAENB/,cutchlofi,n,Your Name,So Far Away,Elijah Who
https://www.instagram.com/p/CFXH90jAzeO/,cutchlofi,n,K-On!,Take Me There,Potsu
https://www.instagram.com/p/CCvhKdYDjl3/,cutchlofi,n,Your Name,love,Theysay.
https://www.instagram.com/p/CC52OImBmY6/,cutchlofi,n,Hyouka,Food Court,Potsu
https://www.instagram.com/p/CC-8mpgDmF8/,cutchlofi,y,Hello World,Good Day,UPRIZE
https://www.instagram.com/p/CGId9dDgXf0/,iciclecrashed,n,Howl's Moving Castle,Palace,Mt. Fujitive
https://www.instagram.com/p/CFSMfB0g-PC/,iciclecrashed,n,Princess Mononoke,Hunny,vyn and laevi
https://www.instagram.com/p/CGP1QycAmuu/,radiantlybroke,y,Tamako Love Story,The Incantation Pt. 2,Stevie Dinner
https://www.instagram.com/p/CGL28f4gpPE/,radiantlybroke,n,Hunter x Hunter (2011),Murder (slowed),Miracle Musical
https://www.instagram.com/p/CFug8Hsg8n5/,radiantlybroke,n,Hunter x Hunter (1999),Lay All Your Love on Me,ABBA
https://www.instagram.com/p/CFffqOrgLEP/,radiantlybroke,n,The End of Evangelion,Fallen Down (slowed),Undertale
https://www.instagram.com/p/CFNG9T5gWz2/,radiantlybroke,n,Wicked City,Your Love is So Divine (slowed),nate b
https://www.instagram.com/p/CFFwl-9Ag7d/,radiantlybroke,y,Darling in the Franxx,Telephone Number,Junko Ohashi
https://www.instagram.com/p/CFD0M7mALcz/,radiantlybroke,n,Bungo Stray Dogs,The Girl Next Door,Tomppabeats
https://www.instagram.com/p/CFAKR5WgSuM/,radiantlybroke,n,Tamako Love Story,Rollercoaster (slowed),Jinji
https://www.instagram.com/p/CE4XLxOgf2n/,radiantlybroke,n,Tokyo Ghoul,Laughing on the Outside (slow and reverb),Bernadette Caroll
https://www.instagram.com/p/CE1_ZCBAxpT/,radiantlybroke,y,Ride Your Wave,You Know It,Colony House
https://www.instagram.com/p/CEx7XLGg-fX/,radiantlybroke,n,Neon Genesis Evangelion,Flyday Chinatown (Round 2 Remix),Yasuha
https://www.instagram.com/p/CEwkKkzAbuG/,radiantlybroke,n,Howl's Moving Castle,A Flower is Not A Flower,l.tuc
https://www.instagram.com/p/CEaiJw3AqQk/,radiantlybroke,n,Demon Slayer,,
https://www.instagram.com/p/CEUKpTMA-Qd/,radiantlybroke,n,Akame Ga Kill,Dontmakemefallinlove,Cuco
https://www.instagram.com/p/CEAf850gwZe/,radiantlybroke,y,My Neighbor Totoro!,Bittersweet,Mochi
https://www.instagram.com/p/CD9C_HNAhqi/,radiantlybroke,y,Cowboy Bebop,Evil Fantasy,Freddie Dredd
https://www.instagram.com/p/CDnJqBigJdP/,radiantlybroke,y,Clannad After Story,weak-heartbeat,n e w a d v e n t u r e  
https://www.instagram.com/p/CDB7jZdgFwv/,radiantlybroke,n,Demon Slayer,Jade,Chinsaku
https://www.instagram.com/p/CDIeuvtgjpP/,radiantlybroke,n,A Whisker Away,Egyptian Pools (slowed),Jinsang
https://www.instagram.com/p/CDeSylngWs7/,radiantlybroke,n,Your Name,Springtime,J^p^n
